C00027342|N|M4|P2026|202504099755146203|24K|CCM|JIMMY GOMEZ FOR CONGRESS|SILVER SPRING|MD|20901|||03282025|5000|C00629659|H8CA34266|89822573|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563641
C00027342|N|M4|P2026|202504099755146204|24K|CCM|NORMA TORRES FOR CONGRESS|COVINA|CA|91722|||03282025|5000|C00557652|H4CA35031|89822575|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563643
C00027342|N|M4|P2026|202504099755146197|24K|CCM|DEBBIE DINGELL FOR CONGRESS|YPSILANTI|MI|48197|||03122025|5000|C00558213|H4MI12079|89775679|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563564
C00027342|N|M4|P2030|202504099755146196|24K|CCM|KLOBUCHAR FOR MINNESOTA|ST PAUL|MN|55104|||03072025|5000|C00431353|S6MN00267|89765877|1884660||2030 VOLUNTARY FEDERAL PRIMARY|4040920251183563535
C00027342|N|M4|P2030|202504099755146200|24K|CCM|GILLIBRAND FOR SENATE|BROOKLYN|NY|11215|||03242025|5000|C00413914|S0NY00410|89809827|1884660||2030 VOLUNTARY FEDERAL PRIMARY|4040920251183563612
C00027342|N|M4|P2030|202504099755146200|24K|CCM|GILLIBRAND FOR SENATE|BROOKLYN|NY|11215|||03242025|-5000|C00413914|S0NY00410|89809832|1884660||VOID - CHECK MAILED BY MISTAKE|4040920251183563613
C00027342|N|M4|P2030|202504099755146200|24K|CCM|GILLIBRAND FOR SENATE|BROOKLYN|NY|11215|||03242025|5000|C00413914|S0NY00410|89809837|1884660||2030 VOLUNTARY FEDERAL PRIMARY|4040920251183563614
C00027342|N|M4|P2026|202504099755146201|24K|CCM|GILLEN FOR NY|WASHINGTON|DC|20033|||03242025|1000|C00840165|H2NY04244|89809846|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563615
C00027342|N|M4|P2026|202504099755146201|24K|CCM|MANNION FOR NEW YORK|WASHINGTON|DC|20003|||03242025|1500|C00845461|H4NY22085|89809849|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563618
C00027342|N|M4|P2026|202504099755146201|24K|CCM|DOGGETT FOR CONGRESS|AUSTIN|TX|78702|||03252025|5000|C00286500|H4TX10028|89810204|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563620
C00027342|N|M4|P2026|202504099755146199|24K|CCM|BEATTY FOR CONGRESS|COLUMBUS|OH|43215|||03142025|2500|C00507368|H2OH03125|89779702|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563580
C00027342|N|M4|P2026|202504099755146196|24K|CCM|MRVAN FOR CONGRESS|MUNSTER|IN|46321|||03072025|2500|C00727529|H0IN01150|89765880|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563536
C00027342|N|M4|P2024|202504099755146198|24K|CCM|GALLEGO FOR ARIZONA|PHOENIX|AZ|85001|||03122025|-5000|C00558627|S4AZ00139|89777632|1884660||VOID - STALE DATED|4040920251183563574
C00027342|N|M4|P2024|202504099755146197|24K|CCM|STANLEY CAMPBELL FOR US SENATE|CORAL SPRINGS|FL|33076|||03122025|-1000|C00851725|S4FL00637|89777630|1884660||VOID - STALE DATED|4040920251183563573
C00027342|N|M4|P2026|202504099755146198|24K|CCM|JEFFRIES FOR CONGRESS|WASHINGTON|DC|20006|||03142025|5000|C00503052|H2NY10092|89779695|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563575
C00027342|N|M4|G2026|202504099755146198|24K|CCM|JEFFRIES FOR CONGRESS|WASHINGTON|DC|20006|||03142025|5000|C00503052|H2NY10092|89779696|1884660||2026 VOLUNTARY FEDERAL GENERAL|4040920251183563576
C00027342|N|M4|P2026|202504099755146199|24K|CCM|ANDREA SALINAS FOR OREGON|TIGARD|OR|97281|||03192025|5000|C00793703|H2OR06066|89797043|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563597
C00027342|N|M4|P2026|202504099755146196|24K|CCM|ERIC SORENSEN FOR ILLINOIS|MOLINE|IL|61265|||03102025|5000|C00793935|H2IL17147|89771677|1884660||2026 VOLUNTARY FEDERAL PRIMARY|4040920251183563553
C00541110|N|Q1|G2026|202504099755194964|24K|CCM|COMER FOR CONGRESS|TOMPKINSVILLE|KY|42167|||02052025|2500|C00588764|H6KY01110|SB23.5563|1884736|||4040920251183570303
C00541110|N|Q1|G2026|202504099755194964|24K|CCM|COMMITTEE TO ELECT MIKE EZELL|HATTIESBURG|MS|39404|||02192025|2500|C00776393|H2MS04258|SB23.5568|1884736|||4040920251183570304
C00319723|N|M3|P2025|202503149754177376|24K|CCM|CHRIS PAPPAS FOR CONGRESS|MANCHESTER|NH|03105|||02252025|1000|C00660464|H8NH01210|SB23.4711|1880427|||4031420251180172975
